Name,Price,Address,Latitude,Longitude,Rating,Review_Count
Halepuna Waikiki by Halekulani,$$,"2233 Helumoa Rd, Honolulu, HI 96815",21.2782175558293,-157.830784438082,4.6,75
"The Ritz-Carlton Residences, Waikiki Beach",$$$$,"383 Kalaimoku St, Waikiki Beach, HI 96815",21.282751200942293,-157.8303651452476,4.5,248
Halekulani Hotel,$$$,"2199 Kalia Rd, Honolulu, HI 96815",21.278256379128212,-157.83180252933633,4.5,463
The Surfjack Hotel & Swim Club,$$,"412 Lewers St, Honolulu, HI 96815",21.28206,-157.8282199,4.4,260
Hilton Grand Vacations Club Hokulani Waikiki Honolulu,$$,"2181 Kalakaua Ave, Honolulu, HI 96815",21.2799716,-157.8303756,4.4,90
Prince Waikiki,$$$,"100 Holomoana St, Honolulu, HI 96815",21.2865222464892,-157.8402,4.4,381
Vive Hotel Waikiki,$$,"2426 Kuhio Ave, Honolulu, HI 96815",21.276785,-157.8232893757817,4.3,318
AC Hotel Honolulu,$$,"1111 Bishop St, Honolulu, HI 96813",21.30947127221736,-157.8598351,4.3,15
Embassy Suites by Hilton Waikiki Beach Walk,$$,"201 Beachwalk St, Honolulu, HI 96815",21.2793123,-157.8316594,4.3,392
Hyatt Centric Waikiki Beach,$$,"349 Seaside Ave, Honolulu, HI 96815",21.2798786476634,-157.82716477055072,4.2,268
Romer Waikiki At The Ambassador,$$,"2040 Kuhio Ave, Urban Honolulu, HI 96815",21.28441,-157.83123,4.1,27
"The Laylow, Autograph Collection",$$,"2299 Kuhio Ave, Honolulu, HI 96815",21.279261395403953,-157.82649561166966,4.1,361
Cabana At Waikiki,$$,"2551 Cartwright Rd, Honolulu, HI 96815",21.27291,-157.82165,4.1,10
Lotus Honolulu at Diamond Head,$$,"2885 Kalakaua Ave, Honolulu, HI 96815",21.26283772950042,-157.82064707460887,4.1,146
Outrigger Waikiki Beachcomber Hotel,$$,"2300 Kalakaua Ave, Honolulu, HI 96815",21.278428796787793,-157.82731618220922,4.1,384
Outrigger Reef Waikiki Beach Resort,$$$,"2169 Kalia Rd, Honolulu, HI 96815",21.27874,-157.83232,4.0,647
Waikiki Central Hotel,$$,"2431 Prince Edward St, Honolulu, HI 96815",21.27626,-157.82428,3.9,41
Hale Koa Hotel,$$,"2055 Kalia Rd, Honolulu, HI 96815",21.281626744385097,-157.83476223159371,3.8,1339
Aston Waikiki Beach Tower,$$$,"2470 Kalakaua Ave, Honolulu, HI 96815",21.27494,-157.82385,3.8,92
Luana Waikiki Hotel and Suites,$$,"2045 Kalakaua Ave, Honolulu, HI 96815",21.2836248,-157.8321193,3.8,229
"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach",$$$,"2365 Kalakaua Avenue, Honolulu, HI 96815",21.276532983955377,-157.8266545685957,3.8,1232
Hawaiian King,$$$$,"417 Nohonani St, Honolulu, HI 96815",21.2798442840576,-157.825775146484,3.8,5
