Name,URL,Address,Distance(Meters),Latitude,Longitude,Distance(Miles)
Pagoda Hotel,https://www.pagodahotel.com/,"1525 Rycroft Street, Honolulu, HI 96814, United States of America",2408,21.295461500000002,-157.84045315720988,1.4962655498527346
Houghtailing Street,N/A,"1525 Rycroft Street, Honolulu, HI 96814, United States of America",2408,21.295461500000002,-157.84045315720988,1.4962655498527346
Ala Moana Hotel,https://www.alamoanahotelhonolulu.com/,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
Hawaii Prince Hotel,N/A,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
The Equus,N/A,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
Tradewinds Hotel,N/A,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
Ilikai Marina Condos,N/A,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
The Modern Honolulu,N/A,"410 Atkinson Drive, Honolulu, HI 96814, United States of America",2796,21.2904878,-157.83954143790174,1.7373581716728597
The Ilikai Hotel,https://clubwyndham.wyndhamdestinations.com/us/en/resorts/wyndham-hotels-resorts/united-states-of-america/hawaii/honolulu/waikiki-marina-resort-at-the-ilikai,"1777 Ala Moana Boulevard, Honolulu, HI 96815, United States of America",3429,21.284357649999997,-157.83845195050804,2.1306871139721877
Hilton Hawaiian Village,https://www.hiltonhawaiianvillage.com/,"2005 Kalia Road, Honolulu, HI 96815, United States of America",3528,21.28304145,-157.83705531833078,2.1922030149005183
Ena Road,N/A,"2005 Kalia Road, Honolulu, HI 96815, United States of America",3528,21.28304145,-157.83705531833078,2.1922030149005183
Doubletree Alana Waikiki Hotel,N/A,"2005 Kalia Road, Honolulu, HI 96815, United States of America",3528,21.28304145,-157.83705531833078,2.1922030149005183
Hale Koa,N/A,"2005 Kalia Road, Honolulu, HI 96815, United States of America",3528,21.28304145,-157.83705531833078,2.1922030149005183
Luana Waikiki Hotel & Suites,https://luanawaikiki.com/,"2045 Kalakaua Avenue, Honolulu, HI 96815, United States of America",3920,21.2836554,-157.83224625100522,2.4357811276672425
Romer Waikiki at The Ambassador,https://www.romerhotels.com/hotels/waikiki-ambassador/,"2040 Kuhio Avenue, Honolulu, HI 96815, United States of America",3923,21.284475200000003,-157.83137670491786,2.4376452458771922
Holiday Inn Express Waikiki,N/A,"2040 Kuhio Avenue, Honolulu, HI 96815, United States of America",3923,21.284475200000003,-157.83137670491786,2.4376452458771922
Club Wyndham Royal Garden at Waikiki,https://clubwyndham.wyndhamdestinations.com/us/en/resorts/wyndham-hotels-resorts/united-states-of-america/hawaii/honolulu/club-wyndham-royal-garden-at-waikiki,"440 ʻOlohana Street, Honolulu, HI 96815, United States of America",4027,21.2844995,-157.8301161230715,2.502268010488772
Hotel Le Croix,https://lacroixwaikiki.com/,"2070 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4039,21.2833758,-157.8311914391274,2.5097244833285695
The Ritz-Carlton,N/A,"2070 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4039,21.2833758,-157.8311914391274,2.5097244833285695
The Breakers Hotel,N/A,"2070 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4039,21.2833758,-157.8311914391274,2.5097244833285695
Kai Aloha Hotel,N/A,"2070 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4039,21.2833758,-157.8311914391274,2.5097244833285695
"Ka Laʻi Waikiki Beach, LXR Hotels & Resorts",https://www.hilton.com/en/hotels/hnlwiol-ka-lai-waikiki-beach/,"223 Saratoga Road, Honolulu, HI 96815, United States of America",4293,21.2794271,-157.83207821023086,2.6675531584376206
The Surfjack,https://surfjack.com/,"Manukai Street, Honolulu, HI 96815, United States of America",4350,21.28200575,-157.82825204286752,2.7029714044266595
Embassy Suites by Hilton Waikiki Beach Walk,N/A,"Manukai Street, Honolulu, HI 96815, United States of America",4350,21.28200575,-157.82825204286752,2.7029714044266595
Coconut Waikiki Hotel,https://coconutwaikikihotel.com/,"450 Lewers Street, Honolulu, HI 96815, United States of America",4358,21.28268755,-157.8275950103482,2.707942386319858
Hokulani Waikiki,N/A,"450 Lewers Street, Honolulu, HI 96815, United States of America",4358,21.28268755,-157.8275950103482,2.707942386319858
Oasis Hotel Waikiki,https://oasishotelwaikiki.com/,"320 Lewers Street, Honolulu, HI 96815, United States of America",4379,21.2808776,-157.82934305,2.720991213789504
Halekulani Hotel,https://www.halekulani.com/,"2199 Kalia Road, Honolulu, HI 96815, United States of America",4397,21.27796265,-157.83236738974801,2.7321759230492004
Courtyard Waikiki Beach,N/A,"2199 Kalia Road, Honolulu, HI 96815, United States of America",4397,21.27796265,-157.83236738974801,2.7321759230492004
Ohana Waikiki Malia,http://www.ohanahotels.com/ohana_waikiki_malia,"2211 Kuhio Avenue, Honolulu, HI 96815, United States of America",4423,21.2808644,-157.82834025475137,2.7483316142020953
Wyndham at Wahikiki Beach Walk,N/A,"2211 Kuhio Avenue, Honolulu, HI 96815, United States of America",4423,21.2808644,-157.82834025475137,2.7483316142020953
Halepuna Waikiki by Halekulani,N/A,"2211 Kuhio Avenue, Honolulu, HI 96815, United States of America",4423,21.2808644,-157.82834025475137,2.7483316142020953
Sheraton Waikiki,http://www.sheraton-waikiki.com/,"2255 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4540,21.277619950000002,-157.83024445121902,2.8210322243901227
shoreline Hotel · Waikiki,N/A,"2255 Kalakaua Avenue, Honolulu, HI 96815, United States of America",4540,21.277619950000002,-157.83024445121902,2.8210322243901227
