Name,Type,Address,Distance(Meters),Latitude,Longitude,Distance(Miles)
Catania Ristorante Italiano,italian,"1111 Bishop Street, Honolulu, HI 96813, United States of America",194,21.3094181,-157.8599002,0.12054631091006252
Komala Curry House,indian,"700 Bishop Street, Honolulu, HI 96813, United States of America",199,21.3093691,-157.8599372,0.12365317459331154
Fort Street Cafe,vietnamese,"1152 Fort Street Mall, Honolulu, HI 96808, United States of America",236,21.3107567,-157.8601845,0.1466439658493544
Red pepper,korean,"1150 Fort Street Mall, Honolulu, HI 96808, United States of America",241,21.3106984,-157.8602619,0.14975082953260344
Sumo Sushi,sushi,"1300 Pali Highway, Honolulu, HI 96813, United States of America",278,21.3123944,-157.857804,0.1727416207886463
The People's Cafe,hawaiian;filipino,"Fort Street, Honolulu, HI 96817, United States of America",279,21.3123638,-157.857554,0.1733629935252961
J. Dolan's Pub,pizza,"1147 Bethel Street, Honolulu, HI 96808, United States of America",284,21.311027,-157.860557,0.17646985720854513
Cafe Julia,N/A,"1147 Bethel Street, Honolulu, HI 96808, United States of America",284,21.311027,-157.860557,0.17646985720854513
Marukame,japanese,"South Hotel Street, Honolulu, HI 96808, United States of America",319,21.3100327,-157.8611689,0.19821790299128836
Mama T's Ital Kitchen - Umeke Market,N/A,"South Hotel Street, Honolulu, HI 96808, United States of America",319,21.3100327,-157.8611689,0.19821790299128836
Ragoon Kitchen,N/A,"South Hotel Street, Honolulu, HI 96808, United States of America",319,21.3100327,-157.8611689,0.19821790299128836
Alakea Steak,N/A,"South Hotel Street, Honolulu, HI 96808, United States of America",319,21.3100327,-157.8611689,0.19821790299128836
Mandoo House,korean,"Nuuanu Avenue, Honolulu, HI 96808, United States of America",411,21.313595,-157.8584275,0.2553841947630706
Terry's Place,N/A,"Nuuanu Avenue, Honolulu, HI 96808, United States of America",411,21.313595,-157.8584275,0.2553841947630706
Fete,N/A,"Nuuanu Avenue, Honolulu, HI 96808, United States of America",411,21.313595,-157.8584275,0.2553841947630706
Yakatori Hachibei,N/A,"Nuuanu Avenue, Honolulu, HI 96808, United States of America",411,21.313595,-157.8584275,0.2553841947630706
Pizza Mamo,N/A,"Nuuanu Avenue, Honolulu, HI 96808, United States of America",411,21.313595,-157.8584275,0.2553841947630706
Pizza Mamo,pizza,"North Hotel Street, Honolulu, HI 96808, United States of America",444,21.3113291,-157.8621011,0.2758894950725142
