Name,Type,Address,Distance(Meters),Latitude,Longitude,Rating,Price
Monkeypod Kitchen,Tacos,"2169 Kālia Rd, Unit 111, Honolulu, HI 96815",3987.963042751163,21.278553,-157.832735,4.3,$$
Olili,Desserts,"2380 Kuhio Ave, Fl 2, Urban Honolulu, HI 96815",4367.977030902085,21.27824198171364,-157.8245122,4.7,N/A
Oli's Kitchen,Diners,"1009 University Ave, Ste MP2, Honolulu, HI 96826",3357.7946211244403,21.292111686687825,-157.8213501,4.7,$$
Basalt,New American,"2255 Kuhio Ave, Honolulu, HI 96815",4104.829150066305,21.279612,-157.826944,4.3,$$
Duke's Waikiki,Hawaiian,"2335 Kalakaua Ave, Ste 116, Honolulu, HI 96815",4339.092605434272,21.276917244893788,-157.82789122343033,4.0,$$
Paia Fish Market Waikiki,Seafood,"2299 Kuhio Ave, Honolulu, HI 96815",4171.376839922001,21.27923,-157.82654,4.5,$$
Kūhiō Ave. Food Hall,Food Court,"2330 Kalakaua Ave, Honolulu, HI 96815",4254.652616313435,21.27826,-157.82658,4.4,$$
The Pig & The Lady,Vietnamese,"83 N King St, Honolulu, HI 96817",1888.397436407516,21.311483,-157.863587,4.1,$$
Southern Love,Southern,"753 Queen St, Unit A, Honolulu, HI 96813",1813.7575291471032,21.2998,-157.85649,4.8,$$
Ginza Bairin Tonkatsu & Yoshoku Bistro,Japanese,"255 Beach Walk, Honolulu, HI 96815",3898.6793513328857,21.279993,-157.830942,4.3,$$
Marugame Udon,Japanese,"2310 Kuhio Ave, Ste 124, Honolulu, HI 96815",4163.558167353227,21.279568,-157.825796,4.5,$$
Straits - Honolulu,Asian Fusion,"1060 Auahi St, Ste 4, Honolulu, HI 96814",2202.8580696631884,21.294048,-157.853403,4.2,$$$
Restaurant At The Cutlery,Steakhouses,"3435 Waialae Ave, Ste 103, Honolulu, HI 96816",5420.09684456381,21.28428,-157.80265,4.3,$$
Tanaka of Tokyo East,Seafood,"150 Kaiulani Ave, Fl 1, Honolulu, HI 96815",4406.704146475011,21.27763,-157.824921,4.5,$$$
Goofy Cafe & Dine,Cafes,"1831 Ala Moana Blvd, Ste 201, Honolulu, HI 96815",3235.4246715347695,21.28437,-157.836902216077,4.1,$$
Nami Kaze,Japanese,"1135 N Nimitz Hwy, Honolulu, HI 96817",3438.2660331423126,21.31789532171534,-157.87804074038726,4.6,$$
