Name,Type,Address,Distance(Meters),Latitude,Longitude,Rating,Price
Monkeypod Kitchen,Tacos,2169 Kālia Rd,3987.963042751163,21.278553,-157.832735,4.3,$$
Olili,Desserts,2380 Kuhio Ave,4367.977030902085,21.27824198171364,-157.8245122,4.7,N/A
Oli's Kitchen,Diners,1009 University Ave,3357.7946211244403,21.292111686687825,-157.8213501,4.7,$$
Basalt,New American,2255 Kuhio Ave,4104.829150066305,21.279612,-157.826944,4.3,$$
Duke's Waikiki,Hawaiian,2335 Kalakaua Ave,4339.092605434272,21.276917244893788,-157.82789122343033,4.0,$$
Paia Fish Market Waikiki,Seafood,2299 Kuhio Ave,4171.376839922001,21.27923,-157.82654,4.5,$$
Kūhiō Ave. Food Hall,Food Court,2330 Kalakaua Ave,4254.652616313435,21.27826,-157.82658,4.4,$$
Southern Love,Southern,753 Queen St,1813.7575291471032,21.2998,-157.85649,4.8,$$
The Pig & The Lady,Vietnamese,83 N King St,1888.397436407516,21.311483,-157.863587,4.1,$$
Ginza Bairin Tonkatsu & Yoshoku Bistro,Japanese,255 Beach Walk,3898.6793513328857,21.279993,-157.830942,4.3,$$
Straits - Honolulu,Asian Fusion,1060 Auahi St,2202.8580696631884,21.294048,-157.853403,4.2,$$$
Marugame Udon,Japanese,2310 Kuhio Ave,4163.558167353227,21.279568,-157.825796,4.5,$$
Goofy Cafe & Dine,Cafes,1831 Ala Moana Blvd,3235.4246715347695,21.28437,-157.836902216077,4.1,$$
Helena's Hawaiian Food,Hawaiian,1240 N School St,2911.240965211897,21.33095,-157.8651,4.4,$$
Restaurant At The Cutlery,Steakhouses,3435 Waialae Ave,5420.09684456381,21.28428,-157.80265,4.3,$$
XO Restaurant,Asian Fusion,3434 Waialae Ave,5379.626324856489,21.28486,-157.80262,4.6,$$
Mexilulu,Mexican,3 Aloha Tower Dr,2274.654424373654,21.30642,-157.86553,4.4,N/A
Nami Kaze,Japanese,1135 N Nimitz Hwy,3438.2660331423126,21.31789532171534,-157.87804074038726,4.6,$$
Hula Grill Waikiki,Hawaiian,2335 Kalakaua Ave,4338.555315657287,21.277015,-157.827677,4.1,$$
Musubi Cafe Iyasume,Japanese,2427 Kuhio Ave,4574.765394051204,21.27651520345242,-157.8237345808766,4.5,$
Lucky Belly,Bars,50 N Hotel St,1761.876750818994,21.31181,-157.86213,4.3,$$
Steak Shack,Steakhouses,2161 Kalia Rd,4013.9002440093263,21.2779970999642,-157.833561100851,4.5,$$
Roy's Waikiki,Hawaiian,226 Lewers St,4000.031708554949,21.278739286639873,-157.83168809003885,4.3,$$$
Tommy Bahama Restaurant | Bar | Store - Waikiki,New American,298 Beachwalk Dr,3788.8286932666365,21.2811643021006,-157.830705424681,4.4,$$$
Moani Waikiki Island Bistro & Bar,Seafood,2330 Kalakaua Ave,4254.652616313435,21.27826,-157.82658,4.1,$$
Tempura Kiki,Japanese,2250 Kalakaua Ave,4069.3320804844516,21.279419,-157.828457,4.8,$$
Aloha Table,Hawaiian,2238 Lauula St,4026.7950686782956,21.27988690560841,-157.828208,4.0,$$
Kirin Restaurant,Seafood,2424 Kalakaua Ave,4537.471856126554,21.276145,-157.825078,4.2,$$
Tikis Grill & Bar,Seafood,2570 Kalakaua Ave,5028.828088905988,21.272458291032645,-157.8225621510433,4.0,$$
Pau Hana Place,Seafood,95 Holomoana St,2845.9234313312463,21.2871179,-157.8409306,4.6,$$
Tanaka of Tokyo East,Seafood,150 Kaiulani Ave,4406.704146475011,21.27763,-157.824921,4.5,$$$
Blue Water Shrimp & Seafood,Seafood,2005 Kalia Rd,3378.6844837977183,21.28403,-157.83603,4.2,$$
Tonkatsu Tamafuji,Japanese,449 Kapahulu Ave,5191.03083685735,21.27496581214703,-157.81540659580557,4.6,$$
Scratch Kitchen - Ward,Breakfast & Brunch,1170 Auahi St,2175.3410948782507,21.2934571,-157.8507377,4.0,$$
Korea Garden,Korean,1683 Kalākaua Ave,2424.056186172595,21.292158406281036,-157.83662393689156,4.7,N/A
Aina Steak & Seafood,Steakhouses,342 Lewers St,3865.3596896265326,21.28117,-157.829,4.8,N/A
Maguro Brothers Hawaii - Waikiki,Sushi Bars,2250 Kalākaua Ave,4027.806204679357,21.279651276487577,-157.82870850410697,4.4,$$
San Paolo Pizzeria,Pizza,1765 Ala Moana Blvd,3045.529421161389,21.28552762699498,-157.8395570684579,4.7,N/A
Cino,Italian,987 Queen St,2061.058158431635,21.29579242605607,-157.85427482200674,4.6,$$$$
Mara,Mediterranean,1390 Kapiolani Blvd,2065.001985999382,21.294027,-157.843519,3.9,N/A
Khan Skewer Restaurant,Barbeque,925 Isenberg St,3020.8349889079477,21.29238,-157.8254,4.5,N/A
Bambino's,Italian,59-864 Kamehameha Hwy,1777.2935311067438,21.300497993968953,-157.8568654924034,4.8,N/A
Aloha Kitchen,Breakfast & Brunch,432 Ena Rd,3136.24390093611,21.28583,-157.83516,4.2,$$
Eating House 1849 - Waikiki,Seafood,2330 Kalakaua Ave,4292.945527902974,21.2778288,-157.8268801,4.0,$$$
Ono Seafood,Seafood,747 Kapahulu Ave,4774.000477260557,21.281063724409982,-157.8138528318885,4.6,$$
Heavenly Island Lifestyle - Waikiki,Breakfast & Brunch,342 Seaside Ave,4045.393802222925,21.279847,-157.827817,4.2,$$
Royal Lobster,Seafood,2250 Kalakaua Ave,4027.396745503214,21.27964353221481,-157.82873524967047,4.8,$$
Little Plum,Asian Fusion,2754 Woodlawn Dr,3660.7311065586546,21.3078542,-157.8103793,4.8,N/A
Sura Hawaii,Korean,1726 Kapiolani Blvd,2554.304899431091,21.290838478620472,-157.83680095641404,4.0,$$
ShoreFyre,Breakfast & Brunch,2446 Koa Ave,4623.124192156121,21.275787,-157.824123,3.9,$$
